Date,Close,Return,Direction,finbert_neg,finbert_neu,finbert_pos,finbert_compound,n_posts,finbert_compound_lag_1,finbert_compound_lag_2,finbert_compound_lag_3,finbert_compound_rolling_3,finbert_compound_rolling_7,n_posts_log,return_lag_1,return_lag_2,return_lag_3,return_rolling_3,return_rolling_7,volatility_7
2022-01-12,43949.1015625,2.8389418684672707,0,0.0957504156089964,0.8228345822010722,0.081414995138489,-0.0143354204705073,42,-0.0677640216364975,-0.0019889980690871,-0.0779395855801261,-0.02802948005869733,-0.04125895429622319,3.7612001156935624,2.1869109453241498,-0.215548536400556,0.4256970472081844,1.6034347591302882,0.1441306348721023,2.151566848015046
2022-01-13,42591.5703125,-3.0888714484173407,1,0.1196207882709462,0.8165727754716169,0.0638064456764947,-0.0558143425944515,44,-0.0143354204705073,-0.0677640216364975,-0.0019889980690871,-0.04597126156715212,-0.04007489927635164,3.8066624897703196,2.8389418684672707,2.1869109453241498,-0.215548536400556,0.6456604551246933,-0.16333444324618934,2.462992264959736
2022-01-14,43099.69921875,1.1930269358978671,1,0.1217298234220255,0.7711139520009359,0.1071562317171783,-0.0145735917048472,33,-0.0558143425944515,-0.0143354204705073,-0.0677640216364975,-0.028241118256602027,-0.030614753722974456,3.5263605246161616,-3.0888714484173407,2.8389418684672707,2.1869109453241498,0.31436578531593234,0.5376794717659334,1.923106501000584
2022-01-15,43177.3984375,0.1802778677309158,0,0.150919449460857,0.7818683526095223,0.0672122054897687,-0.0837072439710883,17,-0.0145735917048472,-0.0558143425944515,-0.0143354204705073,-0.05136505942346236,-0.045160457718086425,2.8903717578961645,1.1930269358978671,-3.0888714484173407,2.8389418684672707,-0.5718555482628526,0.5029192399729261,1.927705693025414
2022-01-16,43113.87890625,-0.1471129191397358,0,0.1549871696487945,0.6819379522519953,0.163074895629988,0.0080877259811934,17,-0.0837072439710883,-0.0145735917048472,-0.0558143425944515,-0.03006436989824739,-0.03287084178075507,2.8903717578961645,0.1802778677309158,1.1930269358978671,-3.0888714484173407,0.4087306281630157,0.421089244780366,1.9436220885059046
2022-01-17,42250.55078125,-2.0024366790964976,1,0.0831954490174265,0.8268719105159535,0.0899326503276825,0.0067372013102559,17,0.0080877259811934,-0.0837072439710883,-0.0145735917048472,-0.02296077222654636,-0.03162424186942035,2.8903717578961645,-0.1471129191397358,0.1802778677309158,1.1930269358978671,-0.6564239101684392,0.16581951010951723,2.147790830705359
2022-01-18,42375.6328125,0.2960482856131374,0,0.1308442516997456,0.7649390686303377,0.1042166919633746,-0.026627559736371,50,0.0067372013102559,0.0080877259811934,-0.0837072439710883,-0.003934210814973928,-0.025747604455116566,3.9318256327243257,-2.0024366790964976,-0.1471129191397358,0.1802778677309158,-0.6178337708743653,-0.10430372699205595,1.9621168720155153
2022-01-19,41744.328125,-1.489782324415878,0,0.1645611703712889,0.7257431025042179,0.109695725420371,-0.0548654449509179,47,-0.026627559736371,0.0067372013102559,0.0080877259811934,-0.024918601125677693,-0.03153760795231808,3.871201010907891,0.2960482856131374,-2.0024366790964976,-0.1471129191397358,-1.065390239299746,-0.7226928974039344,1.5099357526529418
2022-01-20,40680.41796875,-2.548634039729203,0,0.1849048045661413,0.7503784445086212,0.0647167547069715,-0.1201880498591697,33,-0.0548654449509179,-0.026627559736371,0.0067372013102559,-0.06722701818215289,-0.040733851847277826,3.5263605246161616,-1.489782324415878,0.2960482856131374,-2.0024366790964976,-1.2474560261773144,-0.6455161247342004,1.376771719344437
2022-01-21,36457.31640625,-10.381165615712485,0,0.1434923080201058,0.7911349027215139,0.0653727937327778,-0.0781195142873279,46,-0.1201880498591697,-0.0548654449509179,-0.026627559736371,-0.08439100303247186,-0.0498118407876322,3.8501476017100584,-2.548634039729203,-1.489782324415878,0.2960482856131374,-4.806527326619189,-2.2989722035356794,3.733591068413633
2022-01-22,35030.25,-3.914348468076912,1,0.0999689317441412,0.8064442037471703,0.0935868652803557,-0.0063820664637855,35,-0.0781195142873279,-0.1201880498591697,-0.0548654449509179,-0.0682298768700944,-0.038765386858017524,3.58351893845611,-10.381165615712485,-2.548634039729203,-1.489782324415878,-5.6147160411728665,-2.883918822936797,3.598745969643558
2022-01-23,36276.8046875,3.558509252717301,1,0.1187609223567921,0.7823775443045989,0.0988615453243255,-0.0198993770324665,23,-0.0063820664637855,-0.0781195142873279,-0.1201880498591697,-0.03480031926119333,-0.042763544431397515,3.1780538303479458,-3.914348468076912,-10.381165615712485,-2.548634039729203,-3.579001610357365,-2.3545442269572203,4.277050113473702
2022-01-24,36654.328125,1.0406744495611076,1,0.1519710452241056,0.7634412690120584,0.0845876993501887,-0.0673833458739168,51,-0.0198993770324665,-0.0063820664637855,-0.0781195142873279,-0.03122159645672296,-0.05335219402913647,3.9512437185814275,3.558509252717301,-3.914348468076912,-10.381165615712485,0.22827841140049823,-1.91981406572042,4.46914503351383
2022-01-25,36954.00390625,0.8175727030871549,0,0.1227069451991054,0.7678908987177743,0.1094021676315201,-0.0133047775675853,45,-0.0673833458739168,-0.0198993770324665,-0.0063820664637855,-0.033529166824656224,-0.05144893943359565,3.828641396489095,1.0406744495611076,3.558509252717301,-3.914348468076912,1.805585468455187,-1.845310577509846,4.516339390796941
2022-01-26,36852.12109375,-0.2757016878562668,1,0.1300175541804896,0.8193736010127597,0.0506088537888394,-0.0794087003916502,45,-0.0133047775675853,-0.0673833458739168,-0.0198993770324665,-0.05336560794438413,-0.054955118782271696,3.828641396489095,0.8175727030871549,1.0406744495611076,3.558509252717301,0.5275151549306646,-1.6718704865727587,4.55541125894809
2022-01-27,37138.234375,0.7763821260712289,1,0.177600177559292,0.7337128348825943,0.0886869962948064,-0.0889131812644856,42,-0.0794087003916502,-0.0133047775675853,-0.0673833458739168,-0.06054221974124039,-0.05048728041160254,3.7612001156935624,-0.2757016878562668,0.8175727030871549,1.0406744495611076,0.43941771376737176,-1.1968681771726968,4.621624292362534
2022-01-28,37784.33203125,1.7397102127314046,1,0.1192645806446671,0.788127444088459,0.0926079745776951,-0.026656606066972,50,-0.0889131812644856,-0.0794087003916502,-0.0133047775675853,-0.06499282924103596,-0.04313543638012313,3.9318256327243257,0.7763821260712289,-0.2757016878562668,0.8175727030871549,0.7467968836487883,0.5346855126050013,2.2891298395874093
2022-01-29,38138.1796875,0.936493083845824,0,0.1246161172166466,0.819261084869504,0.0561227823141962,-0.0684933349024504,20,-0.026656606066972,-0.0889131812644856,-0.0794087003916502,-0.06135437407796936,-0.052008474728503826,3.044522437723423,1.7397102127314046,0.7763821260712289,-0.2757016878562668,1.1508618075494852,1.227662877165392,1.1865015173069031
2022-01-30,37917.6015625,-0.5783656346668664,1,0.1295664442237466,0.8180636987090111,0.0523698464035987,-0.0771965978201478,20,-0.0684933349024504,-0.026656606066972,-0.0889131812644856,-0.0574488462631901,-0.060193791983886864,3.044522437723423,0.936493083845824,1.7397102127314046,0.7763821260712289,0.6992792206367868,0.6366807503962254,0.7990400640177386
2022-01-31,38483.125,1.491453610450133,1,0.0694742041174322,0.8262648731470108,0.1042609184980392,0.034786714380607,20,-0.0771965978201478,-0.0684933349024504,-0.026656606066972,-0.03696773944733042,-0.04559806909038346,3.044522437723423,-0.5783656346668664,0.936493083845824,1.7397102127314046,0.6165270198763629,0.7010777733803719,0.8533450885357086
2022-02-01,38743.2734375,0.676006528835682,0,0.146597521007061,0.8035767886787653,0.0498256986960768,-0.0967718223109841,20,0.034786714380607,-0.0771965978201478,-0.0684933349024504,-0.046393901916841666,-0.05752193262515472,3.044522437723423,1.491453610450133,-0.5783656346668664,0.936493083845824,0.5296981682063157,0.6808540342015901,0.8518002056467554
2022-02-02,36952.984375,-4.620902943031036,1,0.106490787457336,0.8418602807955309,0.0516489474102854,-0.0548418400470506,22,-0.0967718223109841,0.034786714380607,-0.0771965978201478,-0.03894231599247593,-0.054012381147354786,3.1354942159291497,0.676006528835682,1.491453610450133,-0.5783656346668664,-0.8178142679150744,0.06011099774805156,2.1927819589558464
2022-02-03,37154.6015625,0.5456046132945147,1,0.1479753272019718,0.7801024416755689,0.071922229308831,-0.0760530978931408,38,-0.0548418400470506,-0.0967718223109841,0.034786714380607,-0.0758889200837252,-0.05217522638001981,3.6635616461296463,-4.620902943031036,0.676006528835682,1.491453610450133,-1.1330972669669472,0.027142781637092384,2.181926049605626
2022-02-04,41500.875,11.6978066100073,0,0.1811409249203279,0.7557325211819261,0.0631265561387408,-0.1180143687815871,32,-0.0760530978931408,-0.0548418400470506,-0.0967718223109841,-0.08296976890725953,-0.06522633533925054,3.4965075614664802,0.5456046132945147,-4.620902943031036,0.676006528835682,2.540836093423592,1.4497279812479344,4.961015926760141
