Date,Close,Return,Direction,vader_neg,vader_neu,vader_pos,vader_compound,n_posts,return_lag_1,return_lag_2,return_lag_3,vader_compound_lag_1,vader_compound_lag_2,vader_compound_lag_3,vader_compound_rolling_3,vader_compound_rolling_7,n_posts_log,return_rolling_3,return_rolling_7,volatility_7
2021-12-21,48936.61328125,4.386356169401262,0,0.0466,0.8716,0.0818,0.0802,636,0.3709543768351198,-0.3025942762813871,1.3995731563123393,0.0421,0.0806,0.0943,0.06763333333333335,0.06788571428571429,6.456769655572163,1.484905423318331,0.7380546260234294,3.0927852713579727
2021-12-22,48628.51171875,-0.6295931447672265,1,0.0423,0.8647,0.0899,0.0625,630,4.386356169401262,0.3709543768351198,-0.3025942762813871,0.0802,0.0421,0.0806,0.061600000000000016,0.06964285714285715,6.447305862541213,1.3759058004897178,-0.051908961407989854,2.502366655427786
2021-12-23,50784.5390625,4.433669194360079,1,0.0549,0.8498,0.0925,0.0658,700,-0.6295931447672265,4.386356169401262,0.3709543768351198,0.0625,0.0802,0.0421,0.06950000000000002,0.06914285714285714,6.55250788703459,2.7301440729980375,0.9412092506122852,2.7296236746010667
2021-12-24,50822.1953125,0.0741490435773206,0,0.0535,0.8311,0.1154,0.0988,402,4.433669194360079,-0.6295931447672265,4.386356169401262,0.0658,0.0625,0.0802,0.07570000000000002,0.0749,5.998936561946683,1.2927416977233905,1.3903592170624997,2.158537806663343
2021-12-25,50429.859375,-0.7719775485643066,1,0.0344,0.8517,0.114,0.1182,297,0.0741490435773206,4.433669194360079,-0.6295931447672265,0.0988,0.0658,0.0625,0.09426666666666668,0.07831428571428571,5.697093486505405,1.2452802297910306,1.0801376877944076,2.3078729885446774
2021-12-26,50809.515625,0.752840191714288,0,0.0453,0.851,0.1007,0.0726,335,-0.7719775485643066,0.0741490435773206,4.433669194360079,0.1182,0.0988,0.0658,0.09653333333333336,0.07717142857142857,5.817111159963204,0.018337228909100094,1.2309140403652183,2.235833468549866
2021-12-27,50640.41796875,-0.3328070621613999,0,0.0333,0.8554,0.1028,0.0892,592,0.752840191714288,-0.7719775485643066,0.0741490435773206,0.0726,0.1182,0.0988,0.09333333333333334,0.08389999999999999,6.385194398997726,-0.11731480633714007,1.1303766919371439,2.2959619098579713
2021-12-28,47588.85546875,-6.025942562091624,0,0.0457,0.8741,0.0785,0.0556,601,-0.3328070621613999,0.752840191714288,-0.7719775485643066,0.0892,0.0726,0.1182,0.07246666666666668,0.08038571428571428,6.400257445308821,-1.8686364775129123,-0.35709455541898255,3.0754987258180044
2021-12-29,46444.7109375,-2.404227880624954,1,0.0364,0.8885,0.0736,0.0627,732,-6.025942562091624,-0.3328070621613999,0.752840191714288,0.0556,0.0892,0.0726,0.0691666666666667,0.0804142857142857,6.597145701886651,-2.9209925016259928,-0.6106138033986579,3.1732934989100268
2021-12-30,47178.125,1.579112126431248,0,0.0405,0.8635,0.0945,0.079,708,-2.404227880624954,-6.025942562091624,-0.3328070621613999,0.0627,0.0556,0.0892,0.06576666666666668,0.0823,6.5638555265321274,-2.2836861054284436,-1.0184076702456337,2.536558942175185
2021-12-31,46306.4453125,-1.8476352917798256,1,0.0442,0.866,0.0898,0.0707,664,1.579112126431248,-2.404227880624954,-6.025942562091624,0.079,0.0627,0.0556,0.07080000000000002,0.07828571428571428,6.499787040655854,-0.8909170153245108,-1.2929482895823692,2.502369477665399
